#a	+Noun
#a.	+Noun
aba	+Noun
abacı	+Noun
abadan	+Noun
abadi	+Noun
abajur	+Noun
abaküs	+Noun
abandone	+Noun
abani	+Noun
abanoz	+Noun
abanozgiller	+Noun+PL
abartı	+Noun
abat	+Noun+CV
abaza	+Noun
abdal	+Noun
abdest	+Noun
abdülleziz	+Noun
abe	+Noun
abece	+Noun
aberasyon	+Noun
abıhayat	+Noun
abi	+Noun
abide	+Noun
abis	+Noun
abla	+Noun
ablacı	+Noun
ablasyon	+Noun
ablatya	+Noun
abli	+Noun
abluka	+Noun
abone	+Noun
abonman	+Noun
aborda	+Noun
aborijin	+Noun
abraş	+Noun
#abs	+Noun
abstre	+Noun
abuhava	+Noun
abur	+Noun
abuzambak	+Noun+CV
acele	+Noun
acem	+Noun
acemaşiran	+Noun
acemboru	+Noun+P3
acembuselik	+Noun+CV
acemkürdi	+Noun
acemlale	+Noun+P3
acenta	+Noun
acente	+Noun
aceze	+Noun+PL
acı	+Noun
acıağaç	+Noun+CV
acıbadem	+Noun
acıbakla	+Noun
acıbalık	+Noun+CV
acıçiğdem	+Noun
acıdaş	+Noun
acıelma	+Noun
acıhıyar	+Noun
acımarul	+Noun
acımık	+Noun+CV
acırga	+Noun
acıyonca	+Noun
acibe	+Noun
aciliyet	+Noun
aciyo	+Noun
acun	+Noun
acunbilim	+Noun
acur	+Noun
acyo	+Noun
#acz	+Noun+PL
aç	+Noun
açacak	+Noun+CV
açalya	+Noun
açelya	+Noun
açı	+Noun
açıkağız	+Noun+VD
açıkhava	+Noun
açıklıkölçer	+Noun
açıkoturum	+Noun
açıkoy	+Noun
açıköğretim	+Noun
açıktohumlular	+Noun+PL
açılım	+Noun
açınım	+Noun
açınlama	+Noun
açıortay	+Noun
açıölçer	+Noun
açıt	+Noun
açkı	+Noun
açlık	+Noun+CV
açmalık	+Noun+CV
açmaz	+Noun
ad	+Noun
ada	+Noun
adabalık	+Noun+P3+CV
adabımuaşeret	+Noun
adacyo	+Noun
adaçay	+Noun+P3
adak	+Noun+CV
adale	+Noun
adalet	+Noun
adam	+Noun
adamcağız	+Noun
adamkök	+Noun+P3
adamot	+Noun+P3
adap	+Noun+CV
adaptasyon	+Noun
adaptör	+Noun
adasoğan	+Noun+P3
adaş	+Noun
adatavşan	+Noun+P3
adavet	+Noun
aday	+Noun
adaylık	+Noun+CV
adbilim	+Noun
adcı	+Noun
adçekme	+Noun
adem	+Noun
ademelma	+Noun+P3
ademiyet	+Noun
ademoğul	+Noun+P3+VD
ademot	+Noun+P3
adenin	+Noun
adenokarsinom	+Noun
adenom	+Noun
adenozin	+Noun
adese	+Noun
adet	+Noun+CV
adıl	+Noun
adım	+Noun
adımlayıcıkanatlıgiller	+Noun+PL
adımölçer	+Noun
adliye	+Noun
adrenal	+Noun
adrenalin	+Noun
adres	+Noun
adsızparmak	+Noun+CV
adsorpsiyon	+Noun
adu	+Noun
aerodinamik	+Noun+CV
aerosol	+Noun
af	+Noun+CD
afacan	+Noun
afak	+Noun
afat	+Noun
afazi	+Noun
aferin	+Noun
aferist	+Noun
afet	+Noun
afetzede	+Noun
afi	+Noun
afiş	+Noun
afiyet	+Noun
afoni	+Noun
aforoz	+Noun
afra	+Noun
afrikadomuz	+Noun+P3
afrikamenekşe	+Noun+P3
afrodizyak	+Noun+CV
afsun	+Noun
aftos	+Noun
afur	+Noun
afyon	+Noun
afyonkeş	+Noun
aganta	+Noun
agaragar	+Noun
agaşte	+Noun
agel	+Noun
aglütinasyon	+Noun
aglütinin	+Noun
agnosi	+Noun
agnostisizm	+Noun
agnostizm	+Noun
agora	+Noun
agorafobi	+Noun
agradasyon	+Noun
agraf	+Noun
agrafi	+Noun
agrandisman	+Noun
agrandisör	+Noun
agreman	+Noun
agrokimyasal	+Noun
ağ	+Noun
ağa	+Noun
ağababa	+Noun
ağabey	+Noun
ağaç	+Noun+CV
ağaççık	+Noun+CV
ağaççilek	+Noun+P3+CV
ağaçkakan	+Noun
ağaçkavun	+Noun+P3
ağaçkesen	+Noun
ağaçlık	+Noun+CV
ağaçmine	+Noun+P3
ağaçsansar	+Noun+P3
ağaçsı	+Noun
ağaçsıl	+Noun
ağartı	+Noun
ağbenek	+Noun+CV
ağda	+Noun
ağdacı	+Noun
ağı	+Noun
##ağıağaç	+Noun+P3+CV
ağıl	+Noun
ağım	+Noun
ağıot	+Noun+P3
ağırküre	+Noun
ağırlık	+Noun+CV
ağırsıklet	+Noun
ağırsu	+Noun+SU
ağırşak	+Noun+CV
ağıryağ	+Noun
ağış	+Noun
ağıt	+Noun+CV
ağız	+Noun+VD
ağızbirlik	+Noun+P3+CV
ağızlık	+Noun+CV
ağızot	+Noun+P3
ağkepçe	+Noun
ağkurt	+Noun+P3
ağlamsık	+Noun+CV
ağlantı	+Noun
ağlasun	+Noun
ağlatı	+Noun
ağman	+Noun
ağmantarlar	+Noun+PL
ağnam	+Noun
ağrı	+Noun
ağrık	+Noun+CV
ağrıkesen	+Noun
ağrıkesici	+Noun
ağtabaka	+Noun
ağtonos	+Noun
ağtop	+Noun+P3
ağu	+Noun
ağucuk	+Noun+CV
ağustos	+Noun
ağustosböcek	+Noun+P3+CV
ağyar	+Noun+PL
ah	+Noun
ahali	+Noun+PL
ahar	+Noun
ahbap	+Noun+CV
ahçıbaş	+Noun+P3
ahdicedit	+Noun
ahenk	+Noun+CV
ahfat	+Noun+CV
ahır	+Noun
ahir	+Noun
ahiret	+Noun
ahit	+Noun+CV+VD+VF
ahitname	+Noun
ahize	+Noun
ahkam	+Noun+PL
ahlak	+Noun
ahlakbilim	+Noun
ahlakdış	+Noun+P3
ahlakıyat	+Noun
ahlat	+Noun
ahraz	+Noun
ahret	+Noun
ahşa	+Noun+PL
ahtapot	+Noun
ahu	+Noun
ahududu	+Noun
ahval	+Noun+PL+VF
ahzu	+Noun
aıds	+Noun+VF
aidat	+Noun
aidiyet	+Noun
aids	+Noun
aikido	+Noun
aile	+Noun
airbus	+Noun
ajan	+Noun
ajanda	+Noun
ajans	+Noun
ajitasyon	+Noun
ajitatör	+Noun
ajur	+Noun
akaç	+Noun+CV
akademi	+Noun
akademisyen	+Noun
akağa	+Noun
akağaç	+Noun+CV
akaju	+Noun
akak	+Noun+CV
akala	+Noun
akamber	+Noun
akamet	+Noun
akanyıldız	+Noun
akar	+Noun
akaramber	+Noun
akarca	+Noun
akaret	+Noun
akarsu	+Noun+SU
akaryakıt	+Noun
akasma	+Noun
akasya	+Noun
akbaba	+Noun
akbabagiller	+Noun+PL
akbalık	+Noun+CV
akbalıkçıl	+Noun
akbasma	+Noun
akbaş	+Noun
akbenek	+Noun+CV
akburçak	+Noun+CV
akciğer	+Noun
akciğerliler	+Noun+PL
akça	+Noun
akçaağaç	+Noun+CV
akçaağaçgiller	+Noun+PL
akçakavak	+Noun+CV
akçayel	+Noun
akçe	+Noun
akçöpleme	+Noun
akdağmaden	+Noun+P3
akdarı	+Noun
akdemir	+Noun
akdiken	+Noun
akdoğan	+Noun
akgünlük	+Noun+CV
akhardal	+Noun
akhaşhaş	+Noun
akı	+Noun
akıbet	+Noun
akıl	+Noun+VD
akılcı	+Noun
akıldiş	+Noun+P3
akım	+Noun
akımölçer	+Noun
akımtoplar	+Noun
akın	+Noun
akındırık	+Noun+CV
akıntı	+Noun
akıölçer	+Noun
akışölçer	+Noun
akibet	+Noun
akide	+Noun
akifer	+Noun
akik	+Noun+CV
akis	+Noun+VD
akit	+Noun+CV+VD+VF
akkan	+Noun
akkarınca	+Noun
akkavak	+Noun+CV
akkefal	+Noun+VF
akkelebek	+Noun+CV
akkor	+Noun
akkuyruk	+Noun+CV
aklan	+Noun
aklıselim	+Noun
akliyat	+Noun
akliye	+Noun
akmadde	+Noun
akmantar	+Noun
akne	+Noun
akonitin	+Noun
akont	+Noun
akordeon	+Noun
akordiyon	+Noun
akort	+Noun+CV
akörtü	+Noun
akpas	+Noun
akraba	+Noun
akran	+Noun
akreditasyon	+Noun
akreditif	+Noun
akrep	+Noun+CV
akrilik	+Noun+CV
akrobasi	+Noun
akrobat	+Noun
akromatin	+Noun
akromatopsi	+Noun
akromegali	+Noun
akronim	+Noun
akropol	+Noun+VF
akrostiş	+Noun
aks	+Noun
aksakal	+Noun
aksam	+Noun
aksan	+Noun
aksata	+Noun
aksedir	+Noun
akselerasyon	+Noun
akselerograf	+Noun
akselerometre	+Noun
akseptans	+Noun
aksesuar	+Noun
aksırık	+Noun+CV
aksinek	+Noun+CV
aksiseda	+Noun
aksiyom	+Noun
aksiyon	+Noun
akson	+Noun
aksöğüt	+Noun+CV
aksu	+Noun+SU
aksülamel	+Noun
aksülümen	+Noun
akşam	+Noun+TM
akşamcı	+Noun
akşamsefa	+Noun+P3
akşamüst	+Noun+P3
akşamüzer	+Noun+P3
akşamyıldız	+Noun+P3
akşın	+Noun
aktar	+Noun
aktarım	+Noun
aktavşan	+Noun
aktinit	+Noun
aktinomisin	+Noun
aktinyum	+Noun
aktivite	+Noun
aktivizm	+Noun
aktomyozin	+Noun
aktör	+Noun
aktöre	+Noun
aktris	+Noun
aktrist	+Noun
aktutma	+Noun
aktüalite	+Noun
aktüalizm	+Noun
aktüer	+Noun
aktüerya	+Noun
akupunktur	+Noun
akupunkturcu	+Noun
akustik	+Noun+CV
akuzatif	+Noun
akü	+Noun
akümülatör	+Noun
akvam	+Noun
akvarel	+Noun
akvaryum	+Noun
akvaryumcu	+Noun
akyabalık	+Noun+P3+CV
akyel	+Noun
akyem	+Noun
akyuvar	+Noun
akzambak	+Noun+CV
ala	+Noun
alabalık	+Noun+CV
alabalıkgiller	+Noun+PL
alabanda	+Noun
alabaş	+Noun
alabora	+Noun
alaca	+Noun
alacabalıkçıl	+Noun
alacak	+Noun+CV
alacakaranlık	+Noun+CV
alacamenekşe	+Noun
alacık	+Noun+CV
alaçam	+Noun
alaçık	+Noun+CV
alageyik	+Noun+CV
alagün	+Noun
alaimisema	+Noun
alaka	+Noun
alakarga	+Noun
alamana	+Noun
alamet	+Noun
alan	+Noun
alanin	+Noun
alantop	+Noun+P3
alarga	+Noun
alarm	+Noun
alaşağı	+Noun
alaşım	+Noun
alavere	+Noun
alay	+Noun
alaybozan	+Noun
alaycı	+Noun
alaycıkuş	+Noun
alayiş	+Noun
alaylı	+Noun
alaz	+Noun
albastı	+Noun
albatr	+Noun
albatros	+Noun
albay	+Noun
albeni	+Noun
albinizm	+Noun
albino	+Noun
albüm	+Noun
albümin	+Noun
alçaltı	+Noun
alçı	+Noun
alçıtaş	+Noun+P3
aldağan	+Noun
aldanç	+Noun+CV
aldangıç	+Noun+CV
aldatı	+Noun
aldatmaca	+Noun
aldehit	+Noun+CV
alegori	+Noun
aleksi	+Noun
alel	+Noun
