443	TCDD	Türkiye Cumhuriyeti Devlet Demiryolları
444	TCK	Türkiye Cumhuriyeti Karayolları
445	TCK	Türk Ceza Kanunu
446	TCMB	Türkiye Cumhuriyet Merkez Bankası
447	TCZB	Türkiye Cumhuriyeti Ziraat Bankası
448	TDÇİ	Türkiye Demir Çelik İşletmeleri
449	TDİ	Türkiye Denizcilik İşletmeleri
450	TDK	Türk Dil Kurumu
451	TEAŞ	Türkiye Elektrik Üretim AŞ
452	TEDAŞ	Türkiye Elektrik Dağıtım Anonim Şirketi
453	TEFE	Toptan eşya fiyatları endeksi
454	TEİAŞ	Türkiye Elektrik İletim AŞ
455	tek.	Teknik, teknoloji
456	TEK	Türkiye Elektrik Kurumu
457	telg.	Telgraf
458	TEM	Avrupa Transit Kara Yolu (Trans European Motor Way)
459	TETAŞ	Türkiye Elektrik, Ticaret ve Taahhüt AŞ
460	TGC	Türkiye Gazeteciler Cemiyeti
461	TGS	Türkiye Gazeteciler Sendikası
462	Tğm.	Teğmen
463	THA	Türk Haberler Ajansı
464	THK	Türk Hava Kurumu
465	THK	Türk Hukuk Kurumu
466	THY	Türk Hava Yolları
467	TIR	Uluslararası Kara Yolu Taşımacılığı (Transport International Routier)
468	tic.	Ticaret
469	TİGEM	Tarım İşletmeleri Genel Müdürlüğü
470	TİKA	Türk İşbirliği ve Kalkınma İdaresi Başkanlığı
471	TİM	Türkiye İhracatçılar Merkezi
472	TİSK	Türkiye İşverenler Sendikası Konfederasyonu
473	tiy.	Tiyatro
474	TKAE	Türk Kültürünü Araştırma Enstitüsü
475	TKB	Türk Kadınlar Birliği
476	TKF	Toplu Konut Fonu
477	TKİ	Türkiye Kömür İşletmeleri
478	TL	Türk lirası
479	tel.	Telefon
480	tlks.	Teleks
481	tls.	Telsiz
482	TM	Türk malı
483	TMMOB	Türk Mühendis ve Mimar Odaları Birliği
484	TMO	Toprak Mahsulleri Ofisi
485	TOBB	Türkiye Odalar ve Borsalar Birliği
486	TODAİE	Türkiye ve Orta Doğu Amme İdaresi Enstitüsü
487	TOEFL	Yabancı dil olarak İngilizce testi (Test of English as a Foreign Language)
488	TOKİ	Toplu Konut İdaresi Başkanlığı
489	Top.	Topçu
490	TP	Türk Petrolleri
491	TPAO	Türkiye Petrolleri Anonim Ortaklığı
492	TR	Türkiye
493	TRT	Türkiye Radyo Televizyon Kurumu
494	TSE	Türk Standartları Enstitüsü
495	TSİ	Türkiye saati ile
496	TSK	Türk Silahlı Kuvvetleri
497	TT	Türkiye Türkçesi
498	TTB	Türk Tabipleri Birliği
499	TTOK	Türkiye Turing ve Otomobil Kurumu
500	TTKB	Talim ve Terbiye Kurulu Başkanlığı
501	TTK	Türk Tarih Kurumu
502	Tug.	Tugay
503	Tuğa.	Tuğamiral
504	Tuğg.	Tuğgeneral
505	TUS	Tıpta Uzmanlık Sınavı
506	TÜ	Trakya Üniversitesi
507	TÜBA	Türkiye Bilimler Akademisi
508	TÜBİTAK	Türkiye Bilimsel ve Teknik Araştırma Kurumu
509	TÜFE	Tüketici fiyatları endeksi
510	Tüm.	Tümen
511	Tüma.	Tümamiral
512	Tümg.	Tümgeneral
513	TÜPRAŞ	Türkiye Petrol Rafinerileri Anonim Şirketi
514	TÜRDOK	Türkiye Dokümantasyon Merkezi
515	TÜRKSAT	Türk uydusu (Turkish satellite)
516	TÜRSAB	Türkiye Seyahat Acenteleri Birliği
517	TÜTAV	Türk Tanıtma Vakfı
518	TV	Televizyon
519	TZDK	Türkiye Zirai Donatım Kurumu
520	TZOB	Türkiye Ziraat Odaları Birliği
521	UEFA	Avrupa Futbol Federasyonları Birliği (Union of European Football Associations)
522	UFO	Tanımlanmamış Uçan Nesne (Unidentified Flying Object)
523	UHF	Ultra yüksek frekans (Ultra High Frequency)
524	UK	Birleşik Krallık, İngiltere
525	UN	Birleşmiş Milletler (United Nations)
526	UNAC	Birleşmiş Milletler Çocuklara Yardım Teşkilatı (United Nations Aid to Children)
527	UNESCO	Birleşmiş Milletler Eğitim, Bilim ve Kültür Teşkilatı (United Nations Educational, Scientific and Cultural Organization)
580	UNICEF	Birleşmiş Milletler Uluslararası Çocuklara Yardım Fonu (United Nations International Children's Emergency Fund)
581	UNO	Birleşmiş Milletler Teşkilatı (United Nations Organization)
582	UPI	Uluslararası Basın Birliği (United Press International)
583	UPU	Uluslararası Posta Birliği (Universal Postal Union)
584	USA	Amerika Birleşik Devletleri
585	USAŞ	Uçak Sanayi AŞ
586	UÜ	Uludağ Üniversitesi
587	Uzm.	Uzman
588	Ü	Üniversite
589	Üçvş.	Üstçavuş
590	ÜDS	Üniversiteler Arası Kurul Yabancı Dil Sınavı
591	ÜFE	Üretici fiyatları endeksi
592	ünl.	Ünlem
593	Ütğm.	Üsteğmen
594	ÜT	Üretim tarihi
595	vb.	Ve başkası, ve başkaları, ve benzeri, ve benzerleri, ve bunun gibi
596	vd.	Ve devamı, ve diğerleri
597	VDMK	Varlığa Dayalı Menkul Kıymetler
598	Vet.	Veteriner
599	VHF	Çok yüksek frekans (Very High Frequency)
600	VIP	Çok önemli kişi (Very Important Person)
601	vs.	Vesaire
602	w	Elektrik güç birimi (Watt)
603	WAP	Kablosuz uygulama protokolü; İnternet sistemine kablosuz erişim (Wireless Application Protocol)
604	WB	Dünya Bankası (World Bank)
605	WHO	Dünya Sağlık Örgütü (World Health Organization)
606	WTO	Dünya Ticaret Örgütü (World Trade Organization)
607	Yrd. Doç.	Yardımcı Doçent
608	Yay.	Yayını, yayınları
609	Yb.	Yarbay
610	YDS	Yabancı Dil Sınavı
611	Yd. Sb.	Yedek subay
612	YKr	Yeni kuruş
613	YÖK	Yükseköğretim Kurulu
614	YÖS	Yabancı Uyruklu Öğrenci Sınavı
615	YSE	Yol, Su, Elektrik Genel Müdürlüğü
616	YSK	Yüksek Seçim Kurulu
617	YTL	Yeni Türk lirası
618	YTÜ	Yıldız Teknik Üniversitesi
619	Yun.	Yunanca
620	YURTKUR	Yükseköğrenim Kredi ve Yurtlar Kurumu
621	Y. Mim.	Yüksek mimar
622	Y. Müh.	Yüksek mühendis
623	yy.	Yüzyıl
624	YYÜ	Yüzüncü Yıl Üniversitesi
625	Yzb.	Yüzbaşı
626	zf.	Zarf
627	ZF	Ziraat Fakültesi
628	zm.	Zamir
629	ZMO	Ziraat Mühendisleri Odası
630	zool.	Zooloji
1	A	Alay
2	AA	Anadolu Ajansı
3	AAFSE	Güney Avrupa Müttefik Hava Kuvvetleri (Allied Air Forces Southern Europe)
4	AAM	Atatürk Araştırma Merkezi
5	AB	Avrupa Birliği
6	ABD	Amerika Birleşik Devletleri
7	ABS	Motorlu taşıtlarda fren sistemi (Antilock Braking System)
8	ADSL	Asimetrik sayısal abone hattı (Asymmetric Digital Subscriber Line)
9	AET	Avrupa Ekonomik Topluluğu
10	AFP	Fransız Basın Ajansı (Agence France Press)
11	age.	Adı geçen eser
12	AGİK	Avrupa Güvenlik ve İş Birliği Konferansı
13	AGİT	Avrupa Güvenlik ve İş Birliği Teşkilatı
14	agm.	Adı geçen makale
15	agy.	Adı geçen yayın
16	AI	Uluslararası Af Teşkilatı (Amnesty International)
17	AID	Uluslararası Kalkınma Ajansı (Agency for International Development)
